,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio,Near Shots Ratio,Connectivity,labels,names
43,0.03636609503706856,0.099777833251536,0.10072614662645514,0.7631299250849402,489.0,0.11834598918257262,0.8629403968204491,0.07442509157580215,0.9095990840446057,0.12568943190574566,0.873135192087402,0.1984121110455069,0.7507019688512138,0.023490757385450974,0.07665625724414916,0.04428844209177862,0.130346936501374,0.1626743045654549,0.05196009402285322,0.15623662714803144,0.22994257169262483,0.12440400934828251,0.14443545672137886,0.3449813350896822,0.5105832081889389,14.763157894736842,0.21976120367515042,0.4657516123522829,0.3144871839725666,7.636350491613649,0,Olympique Marseille
44,0.03692229129878462,0.10242611943451918,0.10219015140488166,0.7584614378618144,424.63157894736844,0.13688424105433403,0.8467601087298483,0.0864854948071919,0.9012617480308902,0.16765127893539009,0.8312243566317483,0.19533386088243163,0.7581408189264741,0.0245959923729009,0.07435606222141602,0.04844949921089887,0.13419145747047997,0.1649391840947722,0.05058555801395108,0.14564274508921862,0.22857840900929363,0.12866109251706834,0.14740155380521588,0.34971619957920336,0.5028822466155807,10.894736842105264,0.3292120761935003,0.4087166660309075,0.26207125777559215,7.517173177699494,2,Bordeaux
45,0.03514495282430749,0.0991524354364933,0.10048706143727815,0.7652155503019209,556.078947368421,0.08459398701258751,0.9005091950193581,0.056676369986646276,0.9303223126524218,0.0862710621507454,0.9128657743078461,0.15520784705565516,0.7961135232072494,0.02269446830902484,0.08064355101820327,0.03764473014017868,0.1194089855406386,0.13837540690547995,0.033646478013476304,0.17525863267869393,0.2899478229852999,0.10237992440900419,0.14098274946740688,0.291430870459595,0.5675863800729981,10.973684210526315,0.32372149027171837,0.4671173864427897,0.20916112328549186,8.001662372715005,0,Nice
46,0.03400546144559934,0.09438229172397407,0.09448764988402994,0.7771245969463966,466.2105263157895,0.110422511744337,0.8700373878376823,0.07265914877690387,0.9082575341633025,0.13304188025628305,0.8650620149178263,0.17263330302622157,0.7776285075314707,0.022848237454890657,0.06959719374290868,0.039938780775965486,0.13152383418655117,0.16622773430357504,0.044600862126946215,0.15732099303374056,0.2502079824485072,0.11773438192691464,0.1323842119737649,0.3423524306170725,0.5252633574091625,10.289473684210526,0.2878166789351,0.42277404612930924,0.28940927493559065,7.7496056575003935,2,Lille
47,0.032340290369486956,0.08808587065011195,0.08838251105542339,0.7911913279249776,377.8157894736842,0.17058015553706368,0.8123781492800083,0.11610053171957035,0.8685071648789237,0.22902521912194168,0.7694247749359185,0.2075049947455995,0.7510339448712384,0.02096758294298595,0.07007013487816365,0.05036909519649667,0.1469159452614628,0.17538420890227285,0.049052403879817,0.12005239953214025,0.23662238576497668,0.13056584364168383,0.14140681301764635,0.37135255804355277,0.4872406289388008,10.447368421052632,0.27770407696878285,0.4574868479473742,0.2648090750838429,7.35975252817358,1,Metz
48,0.0352097052425109,0.09283854399980039,0.09284741593782112,0.7791043348198674,375.7894736842105,0.17174384575946985,0.808902374651303,0.11770911188957685,0.8636226773891152,0.19940681232012492,0.7987205480565116,0.24942062697733208,0.6969411741551373,0.024581684162359715,0.07587067193146738,0.041762389544288306,0.15186458188228405,0.15593612870931664,0.04106008922519774,0.1639772165788832,0.2283145009989092,0.11663273696729341,0.1422147456381155,0.3488607998167985,0.508924454545086,10.605263157894736,0.26730809926589627,0.46999071698945416,0.2627011837446496,7.163665282086335,2,Strasbourg
49,0.03674592404966038,0.08986654866766132,0.09009011461838197,0.7832974126642962,339.57894736842104,0.18406713303588468,0.7963602373002872,0.11759761998171675,0.8644544656755769,0.23689072388891835,0.7613808946717141,0.25163411821129644,0.7017859007500994,0.020822035493138238,0.06758308375679352,0.04293386266611795,0.15204465917175108,0.1871389376340154,0.05597130554233935,0.12051441912319671,0.21515522719649505,0.13783646941615235,0.1313389819160498,0.3951549023481059,0.47350611573584417,9.947368421052632,0.3142568182184444,0.4339843102328845,0.2517588715486711,7.153548206179785,1,Toulouse
50,0.03634278548491019,0.09221992693480381,0.09395862566738478,0.777478661912901,431.89473684210526,0.13495623892577452,0.8469711560487465,0.09002952226991845,0.8925855092418017,0.1648331408912819,0.8342158452103358,0.1863999527389974,0.7613375897286699,0.026165608984989888,0.08072646657496862,0.039437523573946115,0.14475996212210002,0.16995007671080467,0.048772670622593696,0.1510992761663499,0.23115829787676562,0.10793011736748104,0.14632959913390473,0.3634827094554985,0.49018769141059676,9.842105263157896,0.29382047623044855,0.46144270856874736,0.24473681520080412,7.458712340291288,2,Saint-\u00c9tienne
51,0.03173578770993009,0.09244262331944075,0.09322008495547339,0.7826015040151556,358.60526315789474,0.1864115971934701,0.7963088801419624,0.11623057164666231,0.8662121686027957,0.22085949563909169,0.7768787077420608,0.28008191218372946,0.6818761958889872,0.02611458699625479,0.07325910454307037,0.04182798523605927,0.1566767246942999,0.1694367336990939,0.04899078723289286,0.12624451823229296,0.2228488409682842,0.13460071839775137,0.14120167677538453,0.37510424562628675,0.48369407759832866,10.842105263157896,0.3339263441237125,0.46045909499856863,0.20561456087771876,7.319321906164012,1,Caen
52,0.0378389206800116,0.09026339725986703,0.09139900689004406,0.7804986751700772,348.2105263157895,0.1676041964165317,0.813002583670646,0.10388520206613938,0.8769782152506785,0.22189300131480566,0.7754522640103215,0.22724173590547683,0.7203111973153941,0.026923988626419034,0.06912102863403258,0.03373535581702664,0.17000396792613628,0.17209258958662108,0.04566703136662913,0.15016791486268152,0.21899048007689884,0.11329764310355452,0.12978037307747836,0.3877635888793866,0.482456038043135,8.552631578947368,0.3720484365995202,0.3813929878171364,0.24655857558334338,6.899074609600925,1,Amiens SC
