,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,Smart_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Short Ratio,Middle Ratio,Long Ratio,average_pass_length,labels,names
11,0.03670580066894622,0.08116267854305766,0.0795724768258664,0.8025590439621295,250.71052631578948,0.1728401969430688,0.8105419483735905,0.016617854683340615,0.11076792476121632,0.8708623015612174,0.1997536763963864,0.7624841770764931,0.23920152570050943,0.7570050207605789,0.02537026483065282,0.07119637636366237,0.04233092886090196,0.18422889330561104,0.1736789104465624,0.036300173629912426,0.14313123174923756,0.21694339559003983,0.10681982522341929,0.13889757005521722,0.39420797738208596,0.46689445256269674,0.32490392653818645,0.3128018407769092,0.36229423268490435,25.496459056256523,0,Leicester City
12,0.031082620433359825,0.0842313849341593,0.0861680934060811,0.7985179012263997,234.57894736842104,0.18377759798730825,0.8029359916281696,0.013286410384522064,0.10862110074195484,0.8766946506132529,0.18309844989150537,0.7796274547114815,0.2854682923291095,0.7139186886368188,0.031506866085634064,0.07571332180086288,0.047149055909423705,0.18808407763979282,0.17411931883387957,0.03527078591487474,0.13039935284271692,0.21924857238088305,0.09850864859193181,0.15436924379592074,0.39747418238854726,0.4481565738155319,0.3418420465519347,0.29935269002141673,0.35880526342664854,25.22053652661473,1,West Ham United
13,0.03184070581479995,0.0820182753894196,0.08103438384510622,0.8051066349506741,220.44736842105263,0.18636745741263774,0.7979088557786028,0.015723686808759293,0.12183366053935714,0.8634099577942697,0.16890978286088656,0.7856538190266613,0.27753322820044113,0.7207134724535443,0.028827218725301765,0.07962335483345219,0.042862089676222015,0.18806001338110395,0.1780532894245193,0.04233091251158741,0.1305438946919314,0.2031855603090759,0.10651366644680578,0.15131266323497605,0.4084442153172107,0.44024312144781313,0.3188297672480072,0.30777930664557857,0.37339092610641417,26.0766242592011,1,Stoke City
14,0.035114925781621696,0.08327084160090906,0.08233947083348217,0.7992747617839869,261.3157894736842,0.16223433448410043,0.8205850098247081,0.017180655691191368,0.09783452110171967,0.8867817380333833,0.16561157543713279,0.7844908957626364,0.2420999546640195,0.7560132384681056,0.028700093918309837,0.07585425907901765,0.04550570968901552,0.1788375204418807,0.16125956011983325,0.04658818747098997,0.1476244813605323,0.2008056208230732,0.1148245670973472,0.1500600626863431,0.386685268032704,0.4632546692809528,0.3439188118456456,0.3159259469720295,0.34015524118232476,24.4978224647478,0,Watford
15,0.03605112621126986,0.07848364944774047,0.07961054268098035,0.8058546816600092,234.1578947368421,0.2101267865873494,0.778333120753854,0.011540092658796552,0.1297871628374579,0.8576212485723506,0.18838164354189027,0.7832195412128131,0.32654006508005684,0.6730285285351286,0.030034918327353603,0.08114977654320205,0.04628826088706862,0.20019394532864399,0.17400230649137358,0.041599687995646714,0.12438778815326189,0.1951526929500305,0.10719062332341875,0.15747295575762435,0.4157959398156644,0.4267311044267112,0.2973168985553604,0.30814928476581016,0.39453381667882936,26.8695731979748,1,Burnley
16,0.03412911683792262,0.07842169409860308,0.07678806323372563,0.8106611258297485,244.1578947368421,0.16691965181615107,0.8194013350726392,0.013679013111209667,0.0925623600689985,0.8918543146812161,0.17585774401241325,0.7868180168458391,0.24524514281176726,0.7530241836077733,0.032921123960844456,0.07483114283739797,0.04039741326313173,0.19567903923173155,0.1512086537590811,0.037841404946779865,0.17434559098540808,0.19831504507469297,0.09446058594093192,0.14814968006137424,0.3847290979375926,0.46712122200103307,0.318582293745324,0.31826551550277427,0.36315219075190164,25.56445963018533,0,Brighton & Hove Albion
17,0.04270479188200319,0.07979686775733348,0.08150705065104602,0.7959912897096172,267.86842105263156,0.1356268944500915,0.8464113104395653,0.017961795110343015,0.08837427228541521,0.8929111224471631,0.14286843905970303,0.806569949748812,0.17828922542419665,0.8204635921446372,0.03055487933185155,0.06447539250469703,0.042382467258096246,0.1895211897729859,0.161279033282575,0.04500624484197229,0.1762121508163617,0.18510052665400933,0.1054681155374506,0.1374127390946449,0.3958064678975333,0.4667807930078217,0.33982174959941,0.3304125683521128,0.32976568204847717,24.005432048435853,0,AFC Bournemouth
18,0.039617254758584124,0.0820419116185969,0.0840502932823712,0.7942905403404477,240.05263157894737,0.18298349947031817,0.804337671413024,0.01267882911665772,0.11694345951484622,0.8691097124068173,0.19352372303627752,0.7716879607319735,0.2571372267233088,0.7419657976423667,0.03232605393380985,0.06788390609252844,0.048095206864544805,0.19372017242660178,0.16714389229430635,0.04691901332934163,0.14785059357376357,0.19300992620806898,0.10305123527703426,0.14830516689088322,0.4077830780502499,0.4439117550588668,0.3306212486852331,0.303024712989256,0.36635403832551083,25.305993722797524,1,Huddersfield Town
19,0.03562039520449433,0.08436169246383303,0.08532041085471292,0.7946975014769596,262.44736842105266,0.14061429421610777,0.8394656179434619,0.01992008784043031,0.08496483449838721,0.8935604539881764,0.16998342568126076,0.7829834925897824,0.20126165894386655,0.7960870315862477,0.02017164910084611,0.06732485288931644,0.04156016046391356,0.15910448776835334,0.1730713804838465,0.04522626184824296,0.15608849631219654,0.22808149568058214,0.10937121545270202,0.12905666245407624,0.3774021301004429,0.49354120744548075,0.3097602274406836,0.34176536740001917,0.3484744051592972,24.79258850852965,0,Monaco
20,0.034393608504267634,0.08327339182184189,0.08331365025011751,0.7990193494237728,274.5,0.16264106381898968,0.8220681134485792,0.015290822732430924,0.10678608970727985,0.8801789089720493,0.16452286744642947,0.7869833613582122,0.23658106921659428,0.7615859050091613,0.028242754938748678,0.0669077849418294,0.042531434825254996,0.1759658548234596,0.17454168167852618,0.04259963931148335,0.15584199052321468,0.2161770961243348,0.09719176283314791,0.13768197470583318,0.39310717581346927,0.46921084948069747,0.309429524990036,0.31701697962967756,0.37355349538028637,25.35775484484393,0,Werder Bremen
