,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,labels,names
34,7.973684210526316,13.789473684210526,6.026315789473684,1.631578947368421,4.526315789473684,2.6052631578947367,9.026315789473685,22.789473684210527,32.05263157894737,21.44736842105263,29.210526315789473,14.18421052631579,7.7631578947368425,13.868421052631579,9.894736842105264,18.5,22.42105263157895,12.736842105263158,6.578947368421052,27.789473684210527,9.0,8.763157894736842,0.7631578947368421,63.86842105263158,64.84210526315789,31.526315789473685,0.2631578947368421,0.02631578947368421,0.15789473684210525,0.18421052631578946,0,Napoli
35,12.763157894736842,22.394736842105264,13.105263157894736,3.1315789473684212,5.2368421052631575,4.131578947368421,12.131578947368421,22.81578947368421,27.92105263157895,42.60526315789474,28.789473684210527,11.289473684210526,15.052631578947368,18.394736842105264,13.105263157894736,20.026315789473685,14.210526315789474,10.210526315789474,5.342105263157895,48.26315789473684,20.42105263157895,12.5,1.131578947368421,62.86842105263158,82.6842105263158,46.55263157894737,0.631578947368421,0.0,0.15789473684210525,0.10526315789473684,2,Crotone
36,10.394736842105264,17.289473684210527,9.81578947368421,3.473684210526316,4.894736842105263,3.526315789473684,12.921052631578947,26.894736842105264,31.736842105263158,37.21052631578947,23.736842105263158,9.210526315789474,13.131578947368421,14.81578947368421,10.526315789473685,22.81578947368421,16.31578947368421,8.105263157894736,6.973684210526316,37.5,16.289473684210527,11.894736842105264,1.2894736842105263,71.55263157894737,70.15789473684211,38.473684210526315,0.6052631578947368,0.07894736842105263,0.13157894736842105,0.18421052631578946,0,SPAL
37,8.921052631578947,14.157894736842104,8.342105263157896,3.1052631578947367,5.605263157894737,3.4210526315789473,15.210526315789474,28.736842105263158,30.92105263157895,37.578947368421055,24.394736842105264,9.81578947368421,12.026315789473685,14.263157894736842,9.68421052631579,24.07894736842105,18.526315789473685,9.210526315789474,10.657894736842104,31.42105263157895,14.578947368421053,12.131578947368421,2.210526315789474,74.86842105263158,71.78947368421052,35.973684210526315,0.6052631578947368,0.10526315789473684,0.10526315789473684,0.10526315789473684,1,Benevento
38,11.18421052631579,15.789473684210526,7.526315789473684,2.9210526315789473,5.5,3.4210526315789473,11.973684210526315,33.026315789473685,45.473684210526315,31.605263157894736,25.657894736842106,12.81578947368421,10.894736842105264,13.157894736842104,10.078947368421053,19.94736842105263,18.789473684210527,10.973684210526315,8.710526315789474,34.5,13.631578947368421,11.842105263157896,1.4210526315789473,90.47368421052632,70.07894736842105,34.13157894736842,0.631578947368421,0.13157894736842105,0.21052631578947367,0.21052631578947367,1,Olympique Lyonnais
39,6.842105263157895,10.368421052631579,4.631578947368421,2.5526315789473686,5.078947368421052,3.0,12.657894736842104,27.157894736842106,39.68421052631579,27.31578947368421,23.842105263157894,12.578947368421053,7.552631578947368,10.631578947368421,10.263157894736842,18.657894736842106,18.18421052631579,12.0,8.657894736842104,21.842105263157894,9.236842105263158,10.631578947368421,1.2894736842105263,79.5,63.73684210526316,28.44736842105263,0.4473684210526316,0.13157894736842105,0.18421052631578946,0.10526315789473684,0,PSG
40,11.473684210526315,21.657894736842106,13.342105263157896,2.3684210526315788,5.815789473684211,3.9210526315789473,10.052631578947368,25.94736842105263,33.3421052631579,37.89473684210526,29.18421052631579,11.157894736842104,12.578947368421053,16.105263157894736,12.473684210526315,19.210526315789473,17.94736842105263,11.552631578947368,5.894736842105263,46.473684210526315,17.13157894736842,12.105263157894736,2.263157894736842,69.34210526315789,78.23684210526316,41.1578947368421,0.631578947368421,0.07894736842105263,0.13157894736842105,0.10526315789473684,2,Nantes
41,10.105263157894736,17.710526315789473,9.447368421052632,3.1578947368421053,6.052631578947368,3.6315789473684212,11.631578947368421,27.31578947368421,40.421052631578945,33.63157894736842,30.526315789473685,13.263157894736842,9.236842105263158,11.973684210526315,11.710526315789474,17.236842105263158,18.157894736842106,12.210526315789474,7.526315789473684,37.26315789473684,10.421052631578947,12.842105263157896,1.4210526315789473,79.36842105263158,77.42105263157895,32.921052631578945,0.4473684210526316,0.07894736842105263,0.10526315789473684,0.15789473684210525,0,Olympique Marseille
42,10.81578947368421,17.105263157894736,11.973684210526315,3.5789473684210527,5.631578947368421,3.8947368421052633,11.789473684210526,29.973684210526315,41.026315789473685,34.60526315789474,28.13157894736842,11.894736842105264,10.526315789473685,13.342105263157896,11.131578947368421,19.36842105263158,17.05263157894737,9.657894736842104,9.973684210526315,39.89473684210526,12.0,13.105263157894736,1.4210526315789473,82.78947368421052,74.63157894736842,35.0,0.7368421052631579,0.10526315789473684,0.0,0.10526315789473684,1,Bordeaux
43,9.31578947368421,11.605263157894736,6.131578947368421,2.6052631578947367,5.368421052631579,2.9473684210526314,13.394736842105264,29.36842105263158,33.86842105263158,32.421052631578945,23.210526315789473,9.578947368421053,11.157894736842104,11.394736842105264,7.7105263157894735,22.105263157894736,17.842105263157894,9.342105263157896,7.473684210526316,27.05263157894737,10.18421052631579,10.921052631578947,0.9210526315789473,76.63157894736842,65.21052631578948,30.263157894736842,0.5789473684210527,0.0,0.10526315789473684,0.21052631578947367,0,Nice
44,11.263157894736842,20.342105263157894,16.07894736842105,3.1315789473684212,6.605263157894737,4.947368421052632,10.526315789473685,27.86842105263158,38.526315789473685,36.5,27.157894736842106,12.973684210526315,10.342105263157896,14.763157894736842,12.947368421052632,17.81578947368421,14.789473684210526,10.263157894736842,6.7368421052631575,47.68421052631579,15.789473684210526,14.68421052631579,1.5,76.92105263157895,76.63157894736842,38.05263157894737,0.9736842105263158,0.07894736842105263,0.13157894736842105,0.05263157894736842,2,Toulouse
