uniqueTeamId,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio,Near Shots Ratio,Connectivity
10531---2499726,0.039755351681957186,0.09174311926605505,0.08868501529051988,0.7798165137614679,330,0.12727272727272726,0.8696969696969697,0.05521472392638037,0.9447852760736196,0.1984126984126984,0.7936507936507936,0.1951219512195122,0.8048780487804879,0.01818181818181818,0.11515151515151516,0.024242424242424242,0.17272727272727273,0.1484848484848485,0.01818181818181818,0.19090909090909092,0.23030303030303031,0.08181818181818182,0.15757575757575756,0.3393939393939394,0.503030303030303,4.0,0.25,0.25,0.5,6.294871794871795
10531---2499736,0.04556962025316456,0.10632911392405063,0.10379746835443038,0.7443037974683544,398,0.1407035175879397,0.8442211055276382,0.07386363636363637,0.9090909090909091,0.192,0.808,0.1958762886597938,0.7731958762886598,0.02763819095477387,0.06532663316582915,0.06281407035175879,0.13316582914572864,0.1306532663316583,0.04020100502512563,0.15326633165829145,0.24623115577889448,0.1407035175879397,0.15577889447236182,0.30402010050251255,0.5402010050251256,7.0,0.42857142857142855,0.5714285714285714,0.0,6.65934065934066
10531---2499741,0.022988505747126436,0.10574712643678161,0.10574712643678161,0.7655172413793103,438,0.1461187214611872,0.8424657534246576,0.13043478260869565,0.8537549407114624,0.19708029197080293,0.8029197080291971,0.08333333333333333,0.8958333333333334,0.0136986301369863,0.1050228310502283,0.0365296803652968,0.1415525114155251,0.1780821917808219,0.02968036529680365,0.15753424657534246,0.2945205479452055,0.04337899543378995,0.1552511415525114,0.3493150684931507,0.4954337899543379,6.0,0.16666666666666666,0.3333333333333333,0.5,6.472527472527473
10531---2499757,0.02734375,0.103515625,0.1015625,0.767578125,515,0.14951456310679612,0.829126213592233,0.11374407582938388,0.8672985781990521,0.13953488372093023,0.8604651162790697,0.2196969696969697,0.7272727272727273,0.015533980582524271,0.07378640776699029,0.07378640776699029,0.1553398058252427,0.13009708737864079,0.04854368932038835,0.16310679611650486,0.2058252427184466,0.13398058252427184,0.16310679611650486,0.3339805825242718,0.5029126213592233,8.0,0.0,0.625,0.375,7.153846153846154
10531---2499766,0.03225806451612903,0.10138248847926268,0.10599078341013825,0.7603686635944701,220,0.2409090909090909,0.75,0.1346153846153846,0.8461538461538461,0.3516483516483517,0.6483516483516484,0.28,0.72,0.031818181818181815,0.11363636363636363,0.022727272727272728,0.2318181818181818,0.20454545454545456,0.013636363636363636,0.15,0.15454545454545454,0.07727272727272727,0.16818181818181818,0.45,0.38181818181818183,3.0,0.0,0.6666666666666666,0.3333333333333333,5.285714285714286
10531---2499777,0.03155339805825243,0.08980582524271845,0.08495145631067962,0.7936893203883495,415,0.17349397590361446,0.8192771084337349,0.12637362637362637,0.8736263736263736,0.14583333333333334,0.8541666666666666,0.3146067415730337,0.651685393258427,0.03614457831325301,0.06506024096385542,0.05301204819277108,0.1566265060240964,0.13253012048192772,0.03855421686746988,0.15421686746987953,0.24096385542168675,0.12289156626506025,0.15421686746987953,0.327710843373494,0.5180722891566265,8.0,0.125,0.375,0.5,7.725274725274725
10531---2499788,0.03917525773195876,0.09896907216494845,0.10515463917525773,0.756701030927835,488,0.11065573770491803,0.8627049180327869,0.06666666666666667,0.9122807017543859,0.17142857142857143,0.819047619047619,0.17346938775510204,0.7653061224489796,0.00819672131147541,0.07172131147540983,0.0389344262295082,0.09836065573770492,0.17827868852459017,0.02459016393442623,0.10860655737704918,0.33401639344262296,0.13729508196721313,0.11885245901639344,0.3012295081967213,0.5799180327868853,5.0,0.4,0.6,0.0,7.263736263736264
10531---2499796,0.027439024390243903,0.12804878048780488,0.12804878048780488,0.7164634146341463,331,0.14803625377643503,0.8429003021148036,0.140625,0.859375,0.1780821917808219,0.821917808219178,0.13636363636363635,0.8181818181818182,0.015105740181268883,0.09969788519637462,0.054380664652567974,0.07854984894259819,0.2175226586102719,0.03927492447129909,0.1268882175226586,0.2628398791540785,0.10574018126888217,0.1691842900302115,0.33534743202416917,0.4954682779456193,6.0,0.16666666666666666,0.5,0.3333333333333333,6.637362637362638
10531---2499806,0.028077753779697623,0.10583153347732181,0.1079913606911447,0.7580993520518359,466,0.15236051502145923,0.8369098712446352,0.0975609756097561,0.8943089430894309,0.21052631578947367,0.7894736842105263,0.216,0.76,0.017167381974248927,0.06652360515021459,0.0536480686695279,0.09656652360515021,0.1781115879828326,0.06223175965665236,0.09012875536480687,0.2832618025751073,0.15236051502145923,0.13733905579399142,0.3369098712446352,0.5257510729613734,19.0,0.3684210526315789,0.2631578947368421,0.3684210526315789,7.274725274725275
10531---2499810,0.003663003663003663,0.0989010989010989,0.0989010989010989,0.7985347985347986,276,0.15942028985507245,0.8043478260869565,0.11382113821138211,0.8373983739837398,0.21621621621621623,0.7837837837837838,0.14285714285714285,0.7619047619047619,0.03260869565217391,0.057971014492753624,0.043478260869565216,0.18478260869565216,0.14492753623188406,0.025362318840579712,0.18478260869565216,0.2427536231884058,0.08333333333333333,0.13405797101449277,0.35507246376811596,0.5108695652173914,5.0,0.2,0.6,0.2,6.208791208791209
10531---2499826,0.0502283105022831,0.0958904109589041,0.09817351598173515,0.7557077625570776,441,0.13151927437641722,0.854875283446712,0.08368200836820083,0.9121338912133892,0.17204301075268819,0.8279569892473119,0.2018348623853211,0.7522935779816514,0.018140589569160998,0.06802721088435375,0.061224489795918366,0.08390022675736962,0.21315192743764172,0.047619047619047616,0.10884353741496598,0.26077097505668934,0.1383219954648526,0.1473922902494331,0.34467120181405897,0.5079365079365079,7.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,7.8901098901098905
10531---2499832,0.0400890868596882,0.1091314031180401,0.1091314031180401,0.7416481069042317,452,0.13274336283185842,0.8473451327433629,0.07555555555555556,0.9111111111111111,0.1864406779661017,0.8135593220338984,0.1926605504587156,0.7522935779816514,0.008849557522123894,0.07079646017699115,0.035398230088495575,0.13053097345132744,0.1747787610619469,0.06637168141592921,0.12168141592920353,0.252212389380531,0.13938053097345132,0.11504424778761062,0.37168141592920356,0.5132743362831859,10.0,0.5,0.4,0.1,8.846153846153847
10531---2499846,0.05152224824355972,0.08899297423887588,0.09836065573770492,0.7611241217798594,430,0.1883720930232558,0.8,0.14444444444444443,0.8444444444444444,0.24822695035460993,0.75177304964539,0.1834862385321101,0.7889908256880734,0.03488372093023256,0.06976744186046512,0.07441860465116279,0.1325581395348837,0.14418604651162792,0.044186046511627906,0.16046511627906976,0.20465116279069767,0.13488372093023257,0.17906976744186046,0.3209302325581395,0.5,9.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,8.41025641025641
