uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
2455---2516830,9,19,7,1,7,3,16,20,11,23,19,6,9,18,9,11,14,7,2,35,10,11,1,47,48,36,0,0,0,0,0,0,32,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,29.999421647888457,0.0
2455---2516841,5,16,5,0,5,2,9,18,10,19,18,5,4,12,4,7,21,7,2,26,3,7,0,37,42,20,0,0,0,0,0,0,35,0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,34.28139212443263,0.0
2455---2516855,17,17,9,1,4,1,10,18,21,22,19,1,8,17,6,14,13,5,5,43,5,6,2,49,42,31,0,0,0,0,0,0,32,0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,32.62035015384548,0.0
2455---2516856,5,15,2,3,1,3,14,11,15,31,15,4,10,11,6,9,7,4,5,22,5,7,0,40,50,27,0,0,0,0,0,0,20,0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,28.584568420859238,0.0
2455---2516872,5,10,12,1,4,2,7,13,22,24,16,10,9,16,9,14,15,8,5,27,5,7,1,42,50,34,0,0,0,0,0,0,37,0,1.0,3.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,23.977391204980744,1.0
2455---2516876,3,12,8,0,5,0,7,15,22,11,19,3,4,10,8,14,6,7,9,23,9,5,0,44,33,22,0,0,0,0,0,0,27,0,3.0,4.0,2.0,0.0,8.0,1.0,2.0,5.0,2.0,26.705627854449503,1.0
2455---2516890,3,14,7,2,2,0,9,12,16,16,23,6,6,9,7,24,5,6,5,24,4,4,0,37,45,22,0,0,0,0,0,0,35,0,0.0,5.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,18.985476589130037,0.0
2455---2516899,16,9,8,1,1,5,2,24,21,16,6,8,6,11,10,8,7,8,3,33,7,7,1,47,30,27,0,0,0,0,0,0,23,0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,24.98764751812952,1.0
2455---2516906,2,9,6,3,5,1,14,16,13,27,26,6,3,6,5,9,7,6,6,17,3,9,1,43,59,14,0,0,0,0,0,0,22,0,1.0,5.0,0.0,0.0,6.0,0.0,1.0,2.0,3.0,33.45776640012895,0.0
2455---2516917,8,13,9,1,5,4,4,14,18,12,16,10,12,4,20,6,16,12,8,30,4,10,0,36,38,36,0,0,0,0,0,0,34,0,2.0,5.0,1.0,0.0,7.0,1.0,4.0,2.0,2.0,24.816852196846515,0.0
