,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,Smart_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Short Ratio,Middle Ratio,Long Ratio,average_pass_length,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio Ratio,Near Shots Ratio,Connectivity
10531---2499826,0.05138339920948617,0.1067193675889328,0.11067193675889328,0.7312252964426877,256,0.1484375,0.83203125,0.01953125,0.10483870967741936,0.8951612903225806,0.16417910447761194,0.7611940298507462,0.2153846153846154,0.7846153846153846,0.03125,0.078125,0.07421875,0.11328125,0.1953125,0.0625,0.109375,0.2109375,0.125,0.18359375,0.37109375,0.4453125,0.3125,0.2890625,0.3984375,26.983346638880693,5.0,0.2,0.00078125,0.6,6.164835164835165
10531---2499832,0.021645021645021644,0.11255411255411256,0.11255411255411256,0.7532467532467533,234,0.13675213675213677,0.8547008547008547,0.008547008547008548,0.10714285714285714,0.8839285714285714,0.10526315789473684,0.868421052631579,0.19047619047619047,0.8095238095238095,0.008547008547008548,0.0811965811965812,0.021367521367521368,0.1794871794871795,0.18803418803418803,0.04700854700854701,0.17094017094017094,0.2094017094017094,0.09401709401709402,0.1111111111111111,0.41452991452991456,0.47435897435897434,0.27350427350427353,0.36752136752136755,0.358974358974359,25.21698967808785,3.0,0.6666666666666666,0.0,0.3333333333333333,5.604395604395604
10531---2499846,0.041811846689895474,0.07665505226480836,0.08710801393728224,0.794425087108014,290,0.1793103448275862,0.803448275862069,0.017241379310344827,0.14049586776859505,0.8429752066115702,0.12307692307692308,0.8307692307692308,0.25961538461538464,0.7403846153846154,0.04482758620689655,0.05517241379310345,0.07931034482758621,0.14482758620689656,0.15517241379310345,0.03793103448275862,0.16896551724137931,0.20689655172413793,0.10689655172413794,0.1793103448275862,0.33793103448275863,0.4827586206896552,0.32413793103448274,0.3448275862068966,0.3310344827586207,24.726967659060268,6.0,0.16666666666666666,0.0022988505747126436,0.16666666666666666,7.564102564102564
10531---2499855,0.03375527426160337,0.08438818565400844,0.08438818565400844,0.7974683544303798,240,0.14583333333333334,0.8458333333333333,0.008333333333333333,0.07079646017699115,0.9292035398230089,0.19230769230769232,0.7692307692307693,0.21782178217821782,0.7722772277227723,0.05416666666666667,0.1125,0.0375,0.2125,0.14166666666666666,0.020833333333333332,0.15416666666666667,0.21666666666666667,0.05,0.20416666666666666,0.375,0.42083333333333334,0.2833333333333333,0.39166666666666666,0.325,24.143032830422577,2.0,0.5,0.0020833333333333333,0.0,7.065934065934066
10531---2499866,0.039301310043668124,0.056768558951965066,0.0611353711790393,0.8427947598253275,232,0.125,0.8706896551724138,0.004310344827586207,0.05309734513274336,0.9469026548672567,0.2857142857142857,0.6785714285714286,0.16483516483516483,0.8351648351648352,0.017241379310344827,0.08620689655172414,0.008620689655172414,0.16810344827586207,0.1336206896551724,0.017241379310344827,0.20689655172413793,0.2672413793103448,0.09482758620689655,0.11206896551724138,0.31896551724137934,0.5689655172413793,0.28448275862068967,0.31896551724137934,0.39655172413793105,24.15135099756544,2.0,0.0,0.004310344827586207,0.0,5.681318681318682
10531---2499876,0.01818181818181818,0.07272727272727272,0.06909090909090909,0.84,278,0.16546762589928057,0.8273381294964028,0.007194244604316547,0.0967741935483871,0.8951612903225806,0.21428571428571427,0.7857142857142857,0.22448979591836735,0.7653061224489796,0.017985611510791366,0.0539568345323741,0.050359712230215826,0.16546762589928057,0.15827338129496402,0.046762589928057555,0.16906474820143885,0.23381294964028776,0.10431654676258993,0.1223021582733813,0.37050359712230213,0.5071942446043165,0.4316546762589928,0.2517985611510791,0.31654676258992803,22.51667773064342,5.0,0.2,0.002158273381294964,0.2,5.824175824175824
10531---2499881,0.029940119760479042,0.10179640718562874,0.09580838323353294,0.7724550898203593,170,0.17058823529411765,0.8117647058823529,0.01764705882352941,0.0547945205479452,0.9041095890410958,0.2,0.8,0.2835820895522388,0.7164179104477612,0.03529411764705882,0.058823529411764705,0.029411764705882353,0.23529411764705882,0.16470588235294117,0.058823529411764705,0.12352941176470589,0.20588235294117646,0.08823529411764706,0.12352941176470589,0.4588235294117647,0.4176470588235294,0.3411764705882353,0.27647058823529413,0.38235294117647056,26.041232737466174,2.0,0.5,0.0029411764705882353,0.0,4.648351648351649
10531---2499893,0.04184100418410042,0.100418410041841,0.09205020920502092,0.7656903765690377,242,0.10743801652892562,0.8925619834710744,0.0,0.06481481481481481,0.9351851851851852,0.08333333333333333,0.9166666666666666,0.16326530612244897,0.8367346938775511,0.0371900826446281,0.08264462809917356,0.04132231404958678,0.17768595041322313,0.16942148760330578,0.024793388429752067,0.19008264462809918,0.19421487603305784,0.08264462809917356,0.16115702479338842,0.371900826446281,0.4669421487603306,0.34710743801652894,0.3512396694214876,0.30165289256198347,22.453387051251713,1.0,0.0,0.0,1.0,4.8791208791208796
10531---2499907,0.05067567567567568,0.09121621621621621,0.09121621621621621,0.7668918918918919,299,0.0802675585284281,0.9163879598662207,0.0033444816053511705,0.05223880597014925,0.9402985074626866,0.1774193548387097,0.8225806451612904,0.05825242718446602,0.941747572815534,0.023411371237458192,0.07692307692307693,0.03678929765886288,0.09698996655518395,0.16722408026755853,0.05351170568561873,0.22408026755852842,0.2040133779264214,0.11705685618729098,0.13712374581939799,0.3177257525083612,0.5451505016722408,0.3511705685618729,0.32441471571906355,0.32441471571906355,22.588482847360208,1.0,1.0,0.0,0.0,5.8901098901098905
10531---2499913,0.024390243902439025,0.11498257839721254,0.11498257839721254,0.7456445993031359,290,0.1,0.8931034482758621,0.006896551724137931,0.09302325581395349,0.8992248062015504,0.06666666666666667,0.9,0.11450381679389313,0.8854961832061069,0.041379310344827586,0.1310344827586207,0.02413793103448276,0.2,0.11724137931034483,0.020689655172413793,0.2103448275862069,0.19655172413793104,0.05862068965517241,0.19655172413793104,0.33793103448275863,0.46551724137931033,0.3931034482758621,0.3724137931034483,0.23448275862068965,20.946377587610566,2.0,0.0,0.0034482758620689655,0.0,6.593406593406593
10531---2499927,0.04330708661417323,0.0984251968503937,0.1062992125984252,0.7519685039370079,257,0.0933852140077821,0.8988326848249028,0.007782101167315175,0.058823529411764705,0.9327731092436975,0.125,0.8125,0.12295081967213115,0.8770491803278688,0.038910505836575876,0.08171206225680934,0.01556420233463035,0.21011673151750973,0.16731517509727625,0.007782101167315175,0.22568093385214008,0.2140077821011673,0.038910505836575876,0.13618677042801555,0.3852140077821012,0.4785992217898833,0.3229571984435798,0.33852140077821014,0.33852140077821014,23.55441303732513,4.0,0.25,0.0019455252918287938,0.25,5.813186813186813
10531---2499937,0.023923444976076555,0.0861244019138756,0.09569377990430622,0.7942583732057417,212,0.17452830188679244,0.8018867924528302,0.02358490566037736,0.09195402298850575,0.8505747126436781,0.21428571428571427,0.7857142857142857,0.23423423423423423,0.7657657657657657,0.04716981132075472,0.0660377358490566,0.02358490566037736,0.23113207547169812,0.1509433962264151,0.014150943396226415,0.24528301886792453,0.19339622641509435,0.02830188679245283,0.13679245283018868,0.39622641509433965,0.4669811320754717,0.27358490566037735,0.3160377358490566,0.41037735849056606,27.06298399762309,3.0,0.3333333333333333,0.0,0.6666666666666666,5.241758241758242
