uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
691---2565717,16,31,14,2,11,4,8,33,34,23,28,16,13,24,21,14,15,9,1,61,23,17,0,75,67,58,0,0,0,0,0,1,38,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.970562748477136,0.0
691---2565726,35,23,20,2,7,1,16,22,29,57,20,9,16,27,4,15,6,9,3,78,19,10,1,67,86,47,1,0,0,0,0,0,30,0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,15.50647803327679,0.0
691---2565730,12,17,10,3,7,2,14,20,24,43,21,9,8,6,15,12,8,5,2,39,17,12,2,58,73,29,1,0,0,0,0,0,25,0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,33.60555448429528,0.0
691---2565747,9,21,16,3,9,4,4,22,27,27,30,15,16,16,15,12,16,13,3,46,16,16,1,53,72,47,2,0,0,0,0,0,41,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,33.79895604626805,0.0
691---2565756,6,15,18,5,8,5,14,33,39,34,27,12,18,26,10,18,13,13,1,39,11,18,1,86,73,54,0,0,1,1,0,0,44,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,49.72403845224158,0.0
691---2565759,10,13,4,5,7,3,15,25,38,54,38,12,11,7,8,25,15,11,0,27,25,15,2,78,104,26,0,1,0,1,0,0,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691---2565773,9,18,3,4,8,1,7,18,9,34,32,4,5,16,6,30,7,3,2,30,17,13,1,34,70,27,2,0,0,1,0,0,40,0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,20.89178057119329,1.0
691---2565786,7,21,12,1,4,2,10,32,28,34,43,13,11,13,16,12,18,8,2,40,9,7,3,70,90,40,0,0,0,1,0,0,38,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,35.8262285020525,0.0
691---2565794,18,35,11,3,5,1,18,33,29,41,45,11,14,20,14,16,20,13,6,64,25,9,1,80,97,48,1,0,0,0,0,0,49,0,2.0,4.0,0.0,0.0,6.0,0.0,1.0,3.0,2.0,28.068413782384297,0.0
691---2565799,10,18,11,3,9,3,14,33,34,48,40,15,8,15,13,39,17,10,6,39,19,15,0,81,103,36,0,0,0,0,0,0,66,0,2.0,3.0,1.0,0.0,5.0,1.0,3.0,2.0,1.0,22.48167248566091,1.0
