teamId,in_poss_cluster0,in_poss_cluster1,in_poss_cluster2,out_of_poss_cluster0,out_of_poss_cluster1,out_of_poss_cluster2,trans_out_of_poss_cluster0,trans_out_of_poss_cluster1,trans_out_of_poss_cluster2,trans_poss_cluster0,trans_poss_cluster1,trans_poss_cluster2,labels,names
684,0.5,0.0,0.5,0.5789473684210527,0.2631578947368421,0.1578947368421052,0.5789473684210527,0.2631578947368421,0.1578947368421052,0.3684210526315789,0.0,0.631578947368421,0,
687,0.3157894736842105,0.1052631578947368,0.5789473684210527,0.3684210526315789,0.5,0.131578947368421,0.5263157894736842,0.3421052631578947,0.131578947368421,0.5,0.0526315789473684,0.4473684210526316,2,
691,0.1578947368421052,0.4473684210526316,0.3947368421052631,0.3684210526315789,0.1052631578947368,0.5263157894736842,0.3947368421052631,0.1842105263157894,0.4210526315789473,0.631578947368421,0.2368421052631578,0.131578947368421,1,
692,0.2894736842105263,0.0789473684210526,0.631578947368421,0.3947368421052631,0.2894736842105263,0.3157894736842105,0.4736842105263157,0.2894736842105263,0.2368421052631578,0.5526315789473685,0.0263157894736842,0.4210526315789473,2,
695,0.0789473684210526,0.6578947368421053,0.2631578947368421,0.3421052631578947,0.2105263157894736,0.4473684210526316,0.5,0.2368421052631578,0.2631578947368421,0.4736842105263157,0.4736842105263157,0.0526315789473684,1,
696,0.0526315789473684,0.6578947368421053,0.2894736842105263,0.2894736842105263,0.0789473684210526,0.631578947368421,0.3947368421052631,0.131578947368421,0.4736842105263157,0.3421052631578947,0.631578947368421,0.0263157894736842,1,
698,0.0,0.9736842105263158,0.0263157894736842,0.2631578947368421,0.0,0.7368421052631579,0.3684210526315789,0.0,0.631578947368421,0.0526315789473684,0.9473684210526316,0.0,1,
701,0.0263157894736842,0.8157894736842105,0.1578947368421052,0.2631578947368421,0.1842105263157894,0.5526315789473685,0.1842105263157894,0.1842105263157894,0.631578947368421,0.2105263157894736,0.7894736842105263,0.0,1,
712,0.0263157894736842,0.631578947368421,0.3421052631578947,0.2894736842105263,0.1052631578947368,0.6052631578947368,0.2894736842105263,0.0789473684210526,0.631578947368421,0.4210526315789473,0.5263157894736842,0.0526315789473684,1,
714,0.3947368421052631,0.0789473684210526,0.5263157894736842,0.4473684210526316,0.2631578947368421,0.2894736842105263,0.4736842105263157,0.1842105263157894,0.3421052631578947,0.4473684210526316,0.0789473684210526,0.4736842105263157,2,
756,0.0,0.5,0.5,0.2631578947368421,0.2105263157894736,0.5263157894736842,0.4473684210526316,0.2368421052631578,0.3157894736842105,0.4736842105263157,0.5263157894736842,0.0,1,
1609,0.7368421052631579,0.0263157894736842,0.2368421052631578,0.6052631578947368,0.131578947368421,0.2631578947368421,0.5789473684210527,0.1578947368421052,0.2631578947368421,0.1578947368421052,0.0263157894736842,0.8157894736842105,0,
1610,0.6052631578947368,0.0526315789473684,0.3421052631578947,0.3421052631578947,0.4736842105263157,0.1842105263157894,0.3947368421052631,0.4210526315789473,0.1842105263157894,0.3421052631578947,0.0526315789473684,0.6052631578947368,0,
1611,0.6578947368421053,0.1052631578947368,0.2368421052631578,0.2894736842105263,0.4210526315789473,0.2894736842105263,0.3684210526315789,0.3947368421052631,0.2368421052631578,0.3947368421052631,0.1052631578947368,0.5,0,
1612,0.7894736842105263,0.0526315789473684,0.1578947368421052,0.4736842105263157,0.3947368421052631,0.131578947368421,0.3421052631578947,0.5,0.1578947368421052,0.2368421052631578,0.0526315789473684,0.7105263157894737,0,
1613,0.0789473684210526,0.6842105263157895,0.2368421052631578,0.1842105263157894,0.1052631578947368,0.7105263157894737,0.2631578947368421,0.2368421052631578,0.5,0.4210526315789473,0.5789473684210527,0.0,1,
1619,0.2894736842105263,0.3684210526315789,0.3421052631578947,0.2631578947368421,0.2368421052631578,0.5,0.3684210526315789,0.2368421052631578,0.3947368421052631,0.5263157894736842,0.2105263157894736,0.2631578947368421,2,
1623,0.1052631578947368,0.4736842105263157,0.4210526315789473,0.2894736842105263,0.1052631578947368,0.6052631578947368,0.3684210526315789,0.0789473684210526,0.5526315789473685,0.5263157894736842,0.4210526315789473,0.0526315789473684,1,
1624,0.7368421052631579,0.0263157894736842,0.2368421052631578,0.5,0.3421052631578947,0.1578947368421052,0.2631578947368421,0.3421052631578947,0.3947368421052631,0.3684210526315789,0.0,0.631578947368421,0,
1625,0.9210526315789472,0.0,0.0789473684210526,0.4473684210526316,0.5263157894736842,0.0263157894736842,0.4736842105263157,0.4736842105263157,0.0526315789473684,0.0789473684210526,0.0,0.9210526315789472,0,
1627,0.0,0.7368421052631579,0.2631578947368421,0.3947368421052631,0.0,0.6052631578947368,0.5,0.0263157894736842,0.4736842105263157,0.3421052631578947,0.6578947368421053,0.0,1,
1628,0.1578947368421052,0.4473684210526316,0.3947368421052631,0.3157894736842105,0.2631578947368421,0.4210526315789473,0.3421052631578947,0.4210526315789473,0.2368421052631578,0.4473684210526316,0.4736842105263157,0.0789473684210526,2,
1631,0.0789473684210526,0.4736842105263157,0.4473684210526316,0.2894736842105263,0.2894736842105263,0.4210526315789473,0.3421052631578947,0.2631578947368421,0.3947368421052631,0.5263157894736842,0.3947368421052631,0.0789473684210526,1,
1633,0.0526315789473684,0.5789473684210527,0.3684210526315789,0.2894736842105263,0.1052631578947368,0.6052631578947368,0.6052631578947368,0.131578947368421,0.2631578947368421,0.4210526315789473,0.5,0.0789473684210526,1,
1639,0.131578947368421,0.631578947368421,0.2368421052631578,0.3684210526315789,0.0526315789473684,0.5789473684210527,0.4736842105263157,0.1052631578947368,0.4210526315789473,0.2631578947368421,0.6052631578947368,0.131578947368421,1,
1644,0.1842105263157894,0.4210526315789473,0.3947368421052631,0.2105263157894736,0.131578947368421,0.6578947368421053,0.1842105263157894,0.2105263157894736,0.6052631578947368,0.6052631578947368,0.3157894736842105,0.0789473684210526,1,
1646,0.0263157894736842,0.7631578947368421,0.2105263157894736,0.3421052631578947,0.0,0.6578947368421053,0.4736842105263157,0.0263157894736842,0.5,0.2105263157894736,0.7894736842105263,0.0,1,
1651,0.0526315789473684,0.3947368421052631,0.5526315789473685,0.3684210526315789,0.0789473684210526,0.5526315789473685,0.5263157894736842,0.1052631578947368,0.3684210526315789,0.5526315789473685,0.3947368421052631,0.0526315789473684,1,
