KMeans_Labels,Opponent_Cluster,Draw,Lose,Win
0,0,25.70621468926554,37.14689265536723,37.14689265536723
0,1,32.608695652173914,36.95652173913043,30.434782608695656
0,2,20.282186948853614,54.14462081128748,25.573192239858905
1,0,32.608695652173914,30.434782608695656,36.95652173913043
1,1,29.66101694915254,35.16949152542373,35.16949152542373
1,2,26.31578947368421,43.42105263157895,30.263157894736842
2,0,20.282186948853614,25.573192239858905,54.14462081128748
2,1,26.31578947368421,30.263157894736842,43.42105263157895
2,2,11.304347826086957,44.34782608695652,44.34782608695652
