KMeans_Labels,Opponent_Cluster,Draw,Lose,Win
0,0,21.980198019801982,39.00990099009901,39.00990099009901
0,1,20.20460358056266,54.73145780051151,25.063938618925828
0,2,23.232323232323232,38.38383838383838,38.38383838383838
1,0,20.20460358056266,25.063938618925828,54.73145780051151
1,1,28.440366972477065,35.77981651376147,35.77981651376147
1,2,27.075812274368232,27.79783393501805,45.12635379061371
2,0,23.232323232323232,38.38383838383838,38.38383838383838
2,1,27.075812274368232,45.12635379061371,27.79783393501805
2,2,30.337078651685395,34.831460674157306,34.831460674157306
